时间,送风湿度,送风温度,TAT7205-1T,TAT7205-1H,TAT7205-2T,TAT7205-2H,TAT7205-3T,TAT7205-3H,TAT7205-4T,TAT7205-4H,TAT7205-5T,TAT7205-5H,回风湿度,新风温度,新风湿度,室外温度,室外湿度,回风温度,Avg_T,Avg_H,Δt,0小时后_温度℃,0小时后_相对湿度%,1小时后_温度℃,1小时后_相对湿度%,2小时后_温度℃,2小时后_相对湿度%,3小时后_温度℃,3小时后_相对湿度%,4小时后_温度℃,4小时后_相对湿度%,生产计划Δt
2020-03-01 22:01:16,33.9988441467285,24.8784713745117,28.1770858764648,29.7164344787598,28.3506965637207,36.7766189575195,28.0613441467285,29.4270839691162,27.8587951660156,30.2372703552246,28.2928237915039,33.3043975830078,33.4490737915039,16.5740737915039,30.6712951660156,4.762729644775396,64.31134338378908,24.53125,28.148149108886702,31.892361068725574,26520,2.6,75,2.2,76,1.8,79,1.5,82,0.9,84,34364
2020-03-07 23:55:16,62.9050903320313,26.1226844787598,29.5949058532715,57.6967582702637,29.7395858764648,61.9212989807129,29.681713104248,50.5208320617676,29.5081024169922,52.6331024169922,29.7685203552246,57.7546310424805,54.4560203552246,14.837963104248,54.2245407104492,9.375001525878911,82.36111145019532,27.2800941467285,29.658565521240224,56.105324554443385,2040,6.8,99,6.5,100,6.4,100,6.0,100,5.9,100,31424
2020-03-23 00:22:46,64.2071762084961,26.875,30.028938293457,25.3472213745117,30.1157417297363,29.2824058532715,29.8842582702637,23.2928237915039,29.7395858764648,24.4212970733643,30.1157417297363,27.5462951660156,62.3553199768066,24.5891189575195,50.4050903320313,10.3530101776123,29.1377296447754,25.5729141235352,29.976853179931616,25.978008651733404,18360,7.5,35,6.9,39,7.3,36,7.4,39,7.6,40,39434
2020-03-30 02:56:46,60.15625,24.3287048339844,28.2349548339844,25.2893505096436,28.3506965637207,30.3819446563721,27.9456024169922,24.5949077606201,27.8009262084961,25.0289344787598,28.3506965637207,27.8356494903564,54.3692092895508,21.087963104248,43.6631965637207,7.187501907348629,59.20138626098632,22.2164344787598,28.136575317382817,26.626157379150396,12240,4.2,62,3.8,65,3.8,66,3.8,68,4.8,67,17954
2020-04-06 23:08:46,26.1863441467285,24.53125,28.1481475830078,21.9618053436279,28.2349548339844,25.3761558532715,27.8587951660156,23.1770820617676,27.7430534362793,23.6979179382324,28.0902786254883,25.0578708648682,22.0196762084961,23.8657417297363,21.875,12.508681488037128,55.355903625488324,25.3993034362793,28.01504592895508,23.854166412353514,15480,10.3,58,10.0,64,10.1,61,10.0,60,9.7,57,36254
2020-04-20 00:32:46,59.0277786254883,26.4409713745117,30.2025489807129,33.130786895752,30.3472213745117,41.0590286254883,30.0578689575195,33.5648155212402,29.9131965637207,34.0277786254883,30.2604179382324,37.4710655212402,43.1134262084961,18.599536895752,43.6053237915039,10.917247772216786,82.75462722778315,26.1226844787598,30.156250762939443,35.8506950378418,12120,8.4,98,10.0,99,10.2,98,10.0,98,10.1,98,28934
2020-04-26 23:46:46,44.5601844787598,25.5439796447754,30.4050903320313,24.4212970733643,30.3761596679688,30.5844898223877,30.0868072509766,23.4375,30.0578689575195,24.0451393127441,30.3761596679688,27.5173606872559,22.5694446563721,22.2453689575195,15.5381946563721,12.118056488037082,32.945600891113244,28.2349548339844,30.260417175293004,26.001157379150396,16200,9.9,34,8.9,38,8.6,41,9.6,37,8.6,42,28994
2020-05-05 06:26:33,33.5648155212402,24.1840286254883,27.0196762084961,28.2118053436279,26.9039344787598,32.8125,26.3541641235352,30.5266208648682,26.3541641235352,30.4108791351318,26.7013893127441,31.25,27.8067150115967,24.0104141235352,22.337963104248,14.30555725097653,49.36342697143552,25.3125,26.666665649414078,30.64236106872558,10080,12.1,56,10.8,71,10.2,86,10.9,86,13.1,84,15987
2020-05-11 02:54:33,62.2395820617676,29.1898155212402,30.6944427490234,43.8078689575195,30.810188293457,48.0613441467285,30.6076393127441,43.6053237915039,30.3761596679688,44.7337951660156,30.6944427490234,47.8587951660156,47.8009262084961,29.3923606872559,40.0752296447754,17.853007888793957,75.82175903320314,28.6689796447754,30.636574554443342,45.613425445556615,7440,15.1,93,14.6,94,16.1,81,16.1,79,17.8,72,21927
2020-05-18 02:48:33,68.1423568725586,28.5243034362793,31.5625,46.556713104248,31.7071800231934,50.2604179382324,31.3888893127441,45.3125,31.2152786254883,47.2222213745117,31.6203689575195,51.0416679382324,48.8715286254883,27.8877296447754,50.6365699768066,15.358793640136707,79.90740051269535,28.755786895752,31.49884338378906,48.078704071044896,4800,14.0,88,14.5,83,15.3,75,14.8,85,15.6,80,22167
